date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:58	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1634802422-ssl-df	https://www.twosetescaperoom.com/robots.txt		(from )
11:43:58	2838/-1	---M--	200	added ('OK')	text/html	etag:%2200beb47f370b64d833ad884c1ee9e774-ssl%22	https://www.twosetescaperoom.com/	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/index.html	(from )
11:44:00	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c0d1f0f597f6251496dbc9e8953d6cd8%22	https://use.fontawesome.com/font-awesome.js	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/use.fontawesome.com/font-awesome.js	(from https://www.twosetescaperoom.com/)
11:44:01	10969/10969	---M--	200	added ('OK')	image/png	etag:%22d3022f2a76bc207e29808463c1baac80-ssl%22	https://www.twosetescaperoom.com/images/apple-touch-icon6de69e97b1ec29210514.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/images/apple-touch-icon6de69e97b1ec29210514.png	(from https://www.twosetescaperoom.com/)
11:44:03	1794/1794	---M--	200	added ('OK')	image/png	etag:%22d67de3814900057c8ced8e7d5d2b400f-ssl%22	https://www.twosetescaperoom.com/images/favicon-32x32d1e1c29bcac845c836e1.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/images/favicon-32x32d1e1c29bcac845c836e1.png	(from https://www.twosetescaperoom.com/)
11:44:05	1047/1047	---M--	200	added ('OK')	image/png	etag:%22f3857eeb915805d587f80f322b3abee5-ssl%22	https://www.twosetescaperoom.com/images/favicon-16x16d8101facfa71307594d6.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/images/favicon-16x16d8101facfa71307594d6.png	(from https://www.twosetescaperoom.com/)
11:44:07	9507/9507	---MCZ	200	added ('OK')	image/svg+xml	etag:%223128dff7709ad596d1add5714e1842b3-ssl-df%22	https://www.twosetescaperoom.com/images/safari-pinned-tab612e33411dc6f757238a.svg	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/images/safari-pinned-tab612e33411dc6f757238a.svg	(from https://www.twosetescaperoom.com/)
11:44:07	50/50	---M--	200	added ('OK')	text/css	etag:fe07a3b7e5f6bbf9b6a5a7de9d39dc524728021f	https://d33wubrfki0l68.cloudfront.net/css/6f7de21ebb1fae97cd8134179448611232bac96c/dist/b88d04fba731603756b1.css	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/css/6f7de21ebb1fae97cd8134179448611232bac96c/dist/b88d04fba731603756b1.css	(from https://www.twosetescaperoom.com/)
11:44:07	2166/2166	---M-Z	200	added ('OK')	application/javascript	etag:48b375c069f020b407117bf602a8145927a1f326-df	https://d33wubrfki0l68.cloudfront.net/js/18b20b59033799bd34e2592153cbdb5f5ded75d7/main.js	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/js/18b20b59033799bd34e2592153cbdb5f5ded75d7/main.js	(from https://www.twosetescaperoom.com/)
11:44:08	6720/6720	---M-Z	200	added ('OK')	text/css	etag:cbf17950ec0fad873845ab6d15d058a91ab10043-df	https://d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css	(from https://www.twosetescaperoom.com/)
11:44:10	15789/15789	---MCZ	200	added ('OK')	text/html	etag:%22363c14b7460c1f42198bd1a7896122d9-ssl-df%22	https://www.twosetescaperoom.com/violin	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/violin.html	(from https://www.twosetescaperoom.com/)
11:44:12	1/1	---M--	200	added ('OK')	application/javascript	etag:0434310050cf492346e13df000098dc454ca6819	https://d33wubrfki0l68.cloudfront.net/js/adc83b19e793491b1c6ea0fd8b46cd9f32e592fc/assets/js/site.js	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/js/adc83b19e793491b1c6ea0fd8b46cd9f32e592fc/assets/js/site.js	(from https://www.twosetescaperoom.com/)
